indice,titulo,clasificacion,fecha_de_estreno,elenco,duracion,duracion_cantidad,duracion_minOSeason,lista_de_generos,plataforma
3701,Yoga For Restful Sleep with Dr. Daniel Nightingale,movie,2019,Dr Daniel J Nightingale,13 min,13,min,special interest,amazon
3702,Wuthering Heights,movie,1939,"Merle Oberon, Laurence Olivier, David Niven",105 min,105,min,"drama, romance",amazon
3703,World War II: Fighters of WWII,movie,2001,Roy Ward,52 min,52,min,"documentary, special interest",amazon
3704,Willie Barcena: The Truth Hurts,movie,2016,Willie Barcena,61 min,61,min,"arts, entertainment, and culture, comedy, special interest",amazon
3705,Wiener-Dog,movie,2016,"Keaton Nigel Cooke, Tracy Letts, Julie Delpy, Kieran Culkin, Rigoberto Garcia, Haraldo Alvarez, Dain Victoriano, Connor Long, Bridget Brown, Curran Connor, Charlie Tahan, Danny DeVito, Patrick Carroll Jr., Molly Gay, Tyler Maynard, Devin Druid, Sharon Washington, Andrew Pang, Peter Jacobson, Samrat Chakrabarti, Anna Baryshnikov, Ari Graynor, Kett Turton, Trey Gerrald, Clara Mamet, Katherine Reis, Alexis Suarez, Ted Beckler, Ellen Burstyn, Marcella Lowery, Zosia Mamet, Michael Shaw, Melo Ludwig",88 min,88,min,comedy,amazon
3706,West by Orphan Train,movie,2014,"Kailey Johnson, Brandon Miller, Nathan Miller, Nicholas Miller, Sydney Miller",57 min,57,min,documentary,amazon
3707,Walled In,movie,2009,"Mischa Barton, Darla Biccum, Cameron Bright, Timothy Allen, Eugene Clark",91 min,91,min,"horror, suspense",amazon
3708,Walk By Faith,movie,2007,"LaRita Shelby, Sid Burston",83 min,83,min,"comedy, faith and spirituality, kids",amazon
3709,Vinaya Vidheya Rama,movie,2019,"Ram Charan, Kiara Advani, Vivek Oberai",145 min,145,min,"action, drama, international",amazon
3710,Vendetta,movie,2015,"Dean Cain, Paul ""Big Show"" Wight, Michael Eklund, Ben Hollingsworth",90 min,90,min,"action, adventure",amazon
3711,Until September,movie,1984,"Karen Allen, Thierry Lhermitte",96 min,96,min,drama,amazon
3712,Tumhari Sulu,movie,2017,"Vidya Balan, Neha Dhupia, Manav Kaul, Vijay Maurya, Santanu Ghatak, Malishka Mendonsa, Vibhawari Deshpande, Abhishek Sharrma, Seema Taneja, Sindhu Shekharan, Trupti Khamkar, Siddhaanth Samant, Uday Lagoo",139 min,139,min,"comedy, drama, international",amazon
3713,Tuareg: Desert Warrior,movie,2007,Mark Harmon,102 min,102,min,action,amazon
3714,Trump: The Art Of The Insult,movie,2018,sin dato,96 min,96,min,special interest,amazon
3715,Transylvania 6-5000,movie,1985,"Jeff Goldblum, Ed Begley Jr., Carol Kane, Geena Davis, Michael Richards, Jeffrey Jones, Joseph Bologna",94 min,94,min,"comedy, horror",amazon
3716,Tranquil Lake Sounds for Sleep 8 Hours,movie,2016,sin dato,480 min,480,min,special interest,amazon
3717,Tom Papa: Human Mule,movie,2016,Tom Papa,59 min,59,min,"arts, entertainment, and culture, comedy, special interest",amazon
3718,Tom Clancy's The Division: Agent Origins,movie,2016,"Matt Lynch, Sasha Andreev, Amanda Day, Danny Mason",32 min,32,min,"action, drama, military and war",amazon
3719,"Thomas & Friends: The Great Race (US English, Brazilian Portuguese, Latin America Spanish)",movie,2016,Joseph May,61 min,61,min,"animation, kids",amazon
3720,"Thomas & Friends: Journey Beyond Sodor (US English, Brazilian Portuguese, Latin America Spanish)",movie,2017,Joseph May,73 min,73,min,"animation, kids",amazon
3721,They Call Us Monsters,movie,2017,"Jarad Nava, Juan Gamez, Antonio Hernandez, Darrell Edwards",82 min,82,min,"documentary, drama, special interest",amazon
3722,The VelociPastor,movie,2019,"Gregory James Cohan, Alyssa Kempinski, Jesse Turits, Daniel Steere, Nicholas M. Garofolo, Claire Hsu",71 min,71,min,horror,amazon
3723,The Unnamable,movie,2018,sin dato,88 min,88,min,horror,amazon
3724,The Taking of Deborah Logan,movie,2019,"Jill Larson, Anne Ramsey, Michelle Ang, Brett Gentile",90 min,90,min,horror,amazon
3725,The Sheik,movie,2016,"Khosrow Vaziri, Hulk Hogan, Dwayne Johnson, Mick Foley, Jim Ross, Seth Green, Jack Black, Jake ""The Snake"" Robert, Ron Jeremy, Hacksaw Jim Duggan, Nasty Boyz",96 min,96,min,"documentary, sports",amazon
3726,The Princess and The Pirate,movie,1994,"Bob Hope, Virginia Mayo, Walter Brennan",94 min,94,min,comedy,amazon
3727,The Pride of The Yankees,movie,1943,"Gary Cooper, Teresa Wright, Babe Ruth",129 min,129,min,"drama, romance",amazon
3728,The Over-The-Hill Gang,movie,1969,"Pat O'Brien, Walter Brennan, Chill Wills, Edgar Buchanan, Gypsy Rose Lee, Ricky Nelson, Kristin Harmon, Andy Devine, Jack Elam, Edward Andrews, Guy Wilkerson",77 min,77,min,"comedy, western",amazon
3729,The Outdoorsman,movie,2018,"Sasheer Zamata, Brent Morin",90 min,90,min,"comedy, special interest",amazon
3730,The Night Watch,movie,2011,"Anna Maxwell Martin, Claire Foy, Jodie Whittaker, Anna Wilson Jones, Harry Treadaway",89 min,89,min,"drama, romance",amazon
3731,The New Adventures of Peter Rabbit,movie,2016,"Jeff Bennett, Cam Clarke, Debi Derryberry",49 min,49,min,"animation, kids",amazon
3732,The Mountain Minor,movie,2019,"Dan Gellert, Elizabeth LaPrelle, Ma Crow, Asa Nelson, Hazel Pasley, Jonathan Bradshaw, Warren Waldron, Amy Cogan Clay, Judy Waldron, Trevor McKenzie, Mike Oberst, Ed Pilkington, Chuck Blackburn",88 min,88,min,"arts, entertainment, and culture, drama, kids",amazon
3733,The Man Who Fell to Earth,movie,1976,"David Bowie, Rip Torn, Candy Clark, Buck Henry, Bernie Casey, Jackson D. Kane, Rick Riccardo, Tony Mascia, Linda Hutton",139 min,139,min,"drama, fantasy, science fiction",amazon
3734,The Lion Of Judah,movie,2011,"Ernest Borgnine, Michael Madsen, Scott Eastwood, Omar Benson Miller, Anupam Kher, Sandi Patty, Alphonso McAuley, Bruce Marchiano",88 min,88,min,"animation, kids, special interest",amazon
3735,The lies we tell but the secrets we keep part 4,movie,2019,"Milon V. Parker, Andrea Dean, Danielle Jones, Reese Ray, LaTanya Lee, James Moses Jr",108 min,108,min,"drama, lgbtq, suspense",amazon
3736,The Last Black Man in San Francisco,movie,2019,"Jimmie Fails, Jonathan Majors, Danny Glover, Finn Wittrock, Tichina Arnold, Rob Morgan, Mike Epps",121 min,121,min,drama,amazon
3737,The Island on Bird Street,movie,1997,"Patrick Bergin, Jordan Kiziuk, Jack Warden",107 min,107,min,drama,amazon
3738,The Intervention,movie,2016,"Natasha Lyonne, Cobie Smulders, Clea DuVall, Melanie Lynskey, Alia Shawkat, Ben Schwartz, Jason Ritter, Vincent Piazza",89 min,89,min,"comedy, drama",amazon
3739,The Identical,movie,2014,"Ray Liotta, Ashley Judd, Seth Green, Joe Pantoliano, Blake Rayne, Erin Cottrell, Brian Geraghty, Amanda Crew",107 min,107,min,drama,amazon
3740,The Hiding Place,movie,1975,"Julie Harris, Jeannette Clift, Eileen Heckart, Arthur O'Connell",146 min,146,min,drama,amazon
3741,The Girl King,movie,2015,"Malin Buska, Sarah Gadon, Michael Nyqvist",106 min,106,min,"drama, lgbtq, romance",amazon
3742,The Doors - When You're Strange,movie,2010,"The Doors, Johnny Depp",85 min,85,min,documentary,amazon
3743,The Diary Of Anne Frank,movie,2009,"Kate Ashfield, Geoffrey Breton, Ron Cook, Nicholas Farrell, Iain Glen, Tamsin Greig, Felicity Jones, Ellie Kendrick, Lesley Sharp",100 min,100,min,"action, drama",amazon
3744,The Connecticut Kid,movie,2020,"Jack Serino, Travis Zariwny, Cassidy Lunnen, Scott Walker, Tom Burruss, Bern Kubiak, Jim Rosenthal",86 min,86,min,"action, comedy, kids",amazon
3745,The Cat in the Hat Knows a Lot About Space!,movie,2017,"Martin Short, Alexa Torrington, Jacob Ewaniuk, Rob Tinkler",58 min,58,min,kids,amazon
3746,The Cat in the Hat Knows a Lot About Halloween!,movie,2016,"Alexa Torrington, Jacob Ewaniuk, Martin Short, Rob Tinkler",58 min,58,min,kids,amazon
3747,The Cat in the Hat Knows a Lot About Christmas,movie,2012,"Martin Short, Alexa Torrington, Jacob Ewaniuk, Rob Tinkler",58 min,58,min,"animation, kids",amazon
3748,The Busy Little Engine,movie,2007,"Desmond Mullen, Pig, Busy Little Engine, Lorrie Guess",34 min,34,min,"animation, kids",amazon
3749,The Amazing Mr. Blunden,movie,1963,"Laurence Naismith, Lynne Frederick, Gary Miller",84 min,84,min,"fantasy, suspense",amazon
3750,The Adventures of Petey and Friends,movie,2016,"Cutter Palacios, Troy Randal Smith, James Larabee, Jeannie Tirado",73 min,73,min,"animation, kids",amazon
3751,Thank God It's Friday,movie,1978,"Donna Summer, Jeff Goldblum, Debra Winger, Lionel Richie, Terri Nunn, Mews Small, Chick Vennera, Valerie Landsburg",89 min,89,min,"arts, entertainment, and culture, comedy",amazon
3752,Thaanaa Serndha Koottam,movie,2018,"Suriya, Keerthy Suresh, Karthik, Ramya Krishnan, Senthil, Nandha, Suresh Chandra Menon, Sathyan, RJ Balaji, Thambi Ramaiah, Kalaiyarasan, Sudhakar, Anandaraj, Nirosha, Yogi Babu",138 min,138,min,"action, adventure, comedy",amazon
3753,"Tammy Pescatelli's ""Way After School Special""",movie,2020,Tammy Pescatelli,57 min,57,min,"arts, entertainment, and culture, comedy, special interest",amazon
3754,SURVIVING CHRISTMAS,movie,2004,"Ben Affleck, James Gandolfini, Christina Applegate, Catherine O'Hara, Josh Zuckerman, Bill Macy",91 min,91,min,comedy,amazon
3755,Submergence,movie,2018,"James McAvoy, Alicia Vikander, Alexander Sidig, Celen Jones, Reda Kateb",112 min,112,min,"drama, suspense",amazon
3756,Steve-O: Guilty As Charged,movie,2016,Steve-O,50 min,50,min,"comedy, special interest",amazon
3757,Steve Treviño: 'Til Death,movie,2019,Steve Treviño,55 min,55,min,"arts, entertainment, and culture, comedy, special interest",amazon
3758,Stealing Cars,movie,2016,"Emory Cohen, John Leguizamo, Paul Sparks, Heather Lind, Mike Epps, William H. Macy, Felicity Huffman, Grace Van Patten, David H. Holmes, Chance Kelly",101 min,101,min,"drama, suspense",amazon
3759,Stay Tuned,movie,1992,"John Ritter, Pam Dawber",88 min,88,min,"animation, comedy, science fiction",amazon
3760,Stalked By My Neighbor,movie,2015,"Amy Pietz, Kelcie Stranahan",87 min,87,min,"action, suspense",amazon
3761,Stalked By My Doctor: Patient's Revenge,movie,2018,"Eric Roberts, Anna Marie Dobbins, Brianna Chomer, Deborah Zoe",86 min,86,min,"action, drama, suspense",amazon
3762,Srinivasa Kalyanam,movie,2018,"Nithin, Raashi Khanna, Nandita Swetha",139 min,139,min,"drama, international",amazon
3763,Spooky House,movie,2020,"Sir Ben Kingsley, Mercedes Ruehl",107 min,107,min,"action, comedy, kids",amazon
3764,Sophie and the Rising Sun,movie,2016,"Julianne Nicholson, Takashi Yamaguchi",105 min,105,min,drama,amazon
3765,Soorarai Pottru (Tamil),movie,2020,"Suriya, Paresh Rawal, Mohan Babu, Aparna Balamurali, Urvashi, Karunas, Vivek Prasanna, Krishna Kumar. B, Kaali Venkat, Poo Ramu, Achyuth Kumar, Prakash Belawadi, Hans Kaushik, Dan Dhanoa",150 min,150,min,"action, drama",amazon
3766,Sonic Christmas Blast,movie,1996,Jaleel White,21 min,21,min,"animation, kids",amazon
3767,SNOW WHITE,movie,1987,"Billy Barty, Diana Rigg",82 min,82,min,"arts, entertainment, and culture, fantasy, kids",amazon
3768,Smitty,movie,2013,"Brandon Tyler Russell, Peter Fonda, Mira Sorvino, Louis Gossett Jr.",95 min,95,min,drama,amazon
3769,Sing and Rhyme with Mother Goose Club,movie,2015,"Liam Remick, Rachel Hockett, Joseph Lopez, Abigail McGuire, Ivy Rhodes, Jessica Diaz",42 min,42,min,kids,amazon
3770,Silent Trigger,movie,1996,"Dolph Lundgren, Gina Bellman, Conrad Dunn",94 min,94,min,"action, drama, suspense",amazon
3771,Shubh Mangal Zyada Saavdhan,movie,2020,"Ayushmann Khurrana, Jitendra Kumar, Gajraj Rao, Neena Gupta, Manu Rishi Chadha, Maanvi Gagroo, Sunita Rajwar",118 min,118,min,"comedy, international, lgbtq",amazon
3772,Sharkwater Extinction,movie,2019,Rob Stewart,85 min,85,min,"documentary, international",amazon
3773,Sharknado 3: Oh Hell No!,movie,2015,"Ian Ziering, Tara Reid, Cassandra Scerbo, Frankie Muniz, David Hasselhoff, Mark Cuban, Bo Derek, Ryan Newman",89 min,89,min,"action, horror, science fiction",amazon
3774,Sharkbait,movie,2007,"John Rhys-Davies, Freddie Prinze Jr., Rob Schneider, Evan Rachel Wood",74 min,74,min,"animation, kids",amazon
3775,See You Soon,movie,2019,"Harvey Keitel, Liam McIntyre, Jenia Tanaeva",107 min,107,min,drama,amazon
3776,Second Chances,movie,2010,"Melissa George, Ryan Scott Greene, Ellen Dubin, Quinn Lord, Robert Crooks, Catherine Bérubé",90 min,90,min,"drama, suspense",amazon
3777,Satyameva Jayate,movie,2018,"John Abraham, Manoj Bajpayee, Aisha Sharma, Amruta Khanvilkar, Manish Chaudhary",140 min,140,min,"action, adventure, international",amazon
3778,Santa Jaws,movie,2018,"Reid Miller, Courtney Lauren Cummings, Jim Klock, Carrie Lazar",89 min,89,min,"action, horror",amazon
3779,Ryan Bingham Live (4K UHD),movie,2016,Ryan Bingham,110 min,110,min,music videos and concerts,amazon
3780,Roborex,movie,2014,"Ben Browder, Kalvin Stinger, Ethan Phillips",91 min,91,min,"action, kids, science fiction",amazon
3781,Robinson Crusoe,movie,1954,sin dato,89 min,89,min,action,amazon
3782,Revenge in Kind,movie,2020,"Chad Halbrook, Sasha Higgins, Chester Gayao, Abel Becerra",89 min,89,min,"drama, suspense",amazon
3783,Resurrection of Jake The Snake,movie,2015,"Jake the Snake Roberts, Diamond Dallas Page, Steve Yu, Steve Austin, Adam Copeland, Jim Ross, Scott Hall, Gene Okerland, Dustin Rhodes",97 min,97,min,"documentary, sports",amazon
3784,Repo! The Genetic Opera,movie,2008,"Anthony Head, Paul Sorvino, Alexa Vega, Terrance Zdunich, Paris Hilton, Sarah Brightman, Nivek Ogre, Bill Moseley",98 min,98,min,"arts, entertainment, and culture, fantasy, horror",amazon
3785,Remember The Sultana,movie,2017,"Ray Appleton, Mackenzie Astin, Sean Astin, Jim Beaver",96 min,96,min,documentary,amazon
3786,Raising the Bar,movie,2016,"Kelli Berglund, Lili Karamalikis, Tess Fowler, Emily Morris, Peta Shannon, Isabelle Andary-Geslin",97 min,97,min,kids,amazon
3787,Raatchasi,movie,2019,"Jyotika, Poornima Bhagyaraj, Satyan, Hareesh Peradi",133 min,133,min,"drama, international, kids",amazon
3788,Putham Pudhu Kaalai,movie,2020,"Jayaram, Oorvasi, Kalidas Jayaram,  Kalyani Priyadarshan,  M S Baaskar,  Ritu Varma,  Shruti Haasan,  Suhasini Mani Ratnam,  Anu Hasan,  Kathadi Ramamurthy,  Komalam Charuhasan,  Andrea Jeremiah,  Gurucharan C,  Leela Samson,  Simha,  Sharath Ravi,  K Muthukumar",129 min,129,min,drama,amazon
3789,Pros and Ex-Cons,movie,2005,"Sam Worthington, Steve Bastoni, Jonathan Sweet, Wayne Bradley, John Boxer, Jason Crewes, Bret Stiller, Ben Dalton, Selyn Pretorius, Brian Cobb",92 min,92,min,"action, adventure, suspense",amazon
3790,Promises,movie,2017,"Manu Intiraymi, Kim Jackson Wheeler, Melody Brooke, Benjamin Dane, Edgar Arreola, Bill Hass",118 min,118,min,drama,amazon
3791,Primal Rage,movie,2018,"Andrew Joseph Montgomery, Casey Gagliardi, Eloy Casados, Marshal Hilton, Justin Rain",106 min,106,min,"drama, horror, suspense",amazon
3792,Pride,movie,2014,"Bill Nighy, Andrew Scott, Imelda Staunton, Dominic West, George MacKay",120 min,120,min,"arthouse, comedy, documentary",amazon
3793,Phantasm: Remastered,movie,1979,"A. Michael Baldwin, Bill Thornbury, Reggie Bannister, Angus Scrimm",89 min,89,min,"horror, science fiction",amazon
3794,Painted Horses,movie,2017,"Madelyn Deutch, Linc Hand, Deana Carter, Terri Minton, Kendall Ryan Sanders, Grace Fulton",92 min,92,min,drama,amazon
3795,Padi Padi Leche Manasu,movie,2018,"Sharwanand, Sai Pallavi, Murali Sharma",153 min,153,min,"drama, international, romance",amazon
3796,Out of Liberty,movie,2019,"Jasen Wade, Brandon Ray Olive, Casey Elliott, Corbin Allred, Adam Johnson, Danny James, Morgan Gunter, Brock Roberts, ake Van Wagoner, Shawn Stephens",112 min,112,min,"faith and spirituality, special interest, western",amazon
3797,Operation Toussaint,movie,2018,"Tim Ballard, Tony Robbins, Glenn Beck, Mike Tomlin, Marisol Nichols, Orrin Hatch, Jonathan Lines, Sean Reyes, Jerry Gowen",82 min,82,min,documentary,amazon
3798,No Greater Love,movie,2017,"Gene Delgado, Jameson Lindskog",97 min,97,min,documentary,amazon
3799,Nighttime Nature Sounds for Sleep 9 Hours,movie,2016,sin dato,540 min,540,min,"documentary, special interest",amazon
3800,Nightjohn,movie,1996,"Beau Bridges, Carl Lumbly, Kathleen York, Allison Jones",96 min,96,min,drama,amazon
3801,Never Let Go,movie,2017,"Angela Dixon, Nigel Whitmey, Rami Nasr, Velibor Topic, Lisa Eichhorn, Heather Peace",94 min,94,min,"action, adventure, drama",amazon
3802,Nat Turner: A Troublesome Property,movie,2003,"Herbert Aptheker, Ayuko Babu, Charles Burnett",57 min,57,min,"documentary, drama, special interest",amazon
3803,"Nas, Live from the Kennedy Center with the National Symphony Orchestra",movie,2018,Nas,52 min,52,min,"arts, entertainment, and culture, documentary",amazon
3804,Nancy Wake: Gestapo's Most Wanted,movie,2014,"Rachael Blampied, Owen Black, William Kircher",62 min,62,min,documentary,amazon
3805,"Nancy Drew, Reporter",movie,1939,"Bonita Granville, John Litel, Frankie Thomas, Mary Lee, Dickie Jones, Larry Williams, Betty Amann, Thomas E. Jackson, Olin Howland, Sheila Bromley, Irving Bacon, John Dilson, Edgar Edwards, Jack Gardner, William Hopper, Jack Mower, Joanne Tree, Walter Young, Hooper Atchley, Frankie Burke, Nat Carr, Glen Cavender, Loia Cheaney, Steve Clark, Jimmy Conlin, Clyde Courtright, Jimmie Fox, Paul Fung, Willie Fung, Chester Gan, Jack A. Goodrich, Sol Gorss, William Gould, Eddie Graham, Kit Guard, George Guhl, Florence Halop, Charles Halton, Al Herman, Harry Hollingsworth, Jack Kenny, Joan Leslie, Al Lloyd, George Lloyd, Charles Marsh, Frank Mayo, Leonard Mudie, George Offerman Jr., Frank Orth, Bob Perry, Jack Perry, Jessie Perry, Renie Riano, Jack Richardson, John Ridgely, Betty Roadman, Cliff Saum, Charles Smith, Charles Sullivan, Elliott Sullivan, Lois Verner, Jack Wagner, Pat West, Leo White, Jack Wise",68 min,68,min,"adventure, suspense",amazon
3806,My Santa,movie,2013,"Samaire Armstrong, Matthew Lawrence, Julie Brown",84 min,84,min,comedy,amazon
3807,Mr. Wong In Chinatown,movie,1939,"Boris Karloff, Marjorie Reynolds, Grant Withers, Huntley Gordon, George Lynn, William Royle, James Flavin, Lotus Long, Lee Tung Foo, Bessie Loo, Richard Loo, Ernie Stanton, I. Stanford Jolley, Donald Kerr, Wilbur Mack, Moy Ming, Bruce Mitchell, Angelo Rossitto, Guy Usher",71 min,71,min,suspense,amazon
3808,Mitron,movie,2018,"Jackky Bhagnani, Kritika Kamra, Prateek Gandhi, Neeraj Sood",116 min,116,min,"comedy, international",amazon
3809,Mine Games,movie,2014,"Joseph Cross, Briana Evigan, Rafi Gavron",94 min,94,min,"horror, suspense",amazon
3810,Memorial Day,movie,2012,"James Cromwell, Jonathan Bennett, Jackson Bond, John Cromwell, Steven Luke, Emily Fradenburgh",108 min,108,min,"action, drama",amazon
3811,Maximum Impact,movie,2018,"Tom Arnold, Danny Trejo, William Baldwin, Mark Decascos, Eric Roberts",110 min,110,min,"action, comedy",amazon
3812,Max Reload and the Nether Blasters,movie,2020,"Greg Grunberg, Wil Wheaton, Kevin Smith",101 min,101,min,science fiction,amazon
3813,Martial Arts of Shaolin,movie,1986,"Jet Li, Huang Qiu-yan, Hu Jian-qiang, Yu Cheng-hui, Yu Hai",90 min,90,min,"action, adventure",amazon
3814,Marketing the Messiah,movie,2020,sin dato,103 min,103,min,"documentary, special interest",amazon
3815,Marjaavaan,movie,2019,"Riteish Deshmukh, Sidharth Malhotra, Tara Sutaria, Rakul Preet Singh",133 min,133,min,romance,amazon
3816,Marina Franklin: Single Black Female,movie,2019,Marina Franklin,58 min,58,min,"arts, entertainment, and culture, comedy, special interest",amazon
3817,Mardaani 2,movie,2019,"Rani Mukerji, Vishal Jethwa, Sumit Nijhawan, Shruti Bapna, Vikram Singh Chauhan, Deepika Amin, K.C.Shankar, Rajesh Sharma, Jishu Sengupta, Avneet Kaur",103 min,103,min,"action, drama, suspense",amazon
3818,Manikarnika: The Queen of Jhansi,movie,2019,"Kangana Ranaut, Jisshu Sengupta, Ankita Lokhande",141 min,141,min,"action, drama, historical",amazon
3819,Maharshi,movie,2019,"Mahesh Babu, Allari Naresh, Pooja Hegde",177 min,177,min,"action, drama, international",amazon
