indice,titulo,clasificacion,fecha_de_estreno,elenco,duracion,duracion_cantidad,duracion_minOSeason,lista_de_generos,plataforma
20526,Blood & Treasures,tv show,2016,"Nawat Kulrattanarak, Woranuch Wongsawan, Jespipat Tilapornputt, Paramej Noiam, Phutharit Prombandal",1 Season,1,season,"international tv shows, tv dramas, tv sci-fi & fantasy",netflix
20527,Blood Father,movie,2016,"Mel Gibson, Erin Moriarty, Diego Luna, Michael Parks, William H. Macy, Miguel Sandoval, Dale Dickey, Richard Cabral, Daniel Moncada, Ryan Dorsey",88 min,88,min,"action & adventure, international movies",netflix
20528,Blow,movie,2001,"Johnny Depp, Penélope Cruz, Franka Potente, Rachel Griffiths, Paul Reubens, Jordi Mollà, Cliff Curtis, Miguel Sandoval, Ethan Suplee, Ray Liotta",123 min,123,min,dramas,netflix
20529,Blue Is the Warmest Color,movie,2013,"Léa Seydoux, Adèle Exarchopoulos, Salim Kechiouche, Aurélien Recoing, Catherine Salée, Benjamin Siksou, Mona Walravens, Alma Jodorowsky, Jérémie Laheurte, Anne Loiret, Benoît Pilot, Sandor Funtek, Fanny Maurin",180 min,180,min,"dramas, independent movies, international movies",netflix
20530,Blue Jasmine,movie,2013,"Cate Blanchett, Sally Hawkins, Alec Baldwin, Louis C.K., Bobby Cannavale, Andrew Dice Clay, Peter Sarsgaard, Michael Stuhlbarg, Tammy Blanchard, Max Casella, Alden Ehrenreich",98 min,98,min,"comedies, dramas, independent movies",netflix
20531,Blue Mountain State: The Rise of Thadland,movie,2016,"Alan Ritchson, Darin Brooks, James Cade, Rob Ramsay, Chris Romano, Frankie Shaw, Omari Newton, Ed Marinaro, Dhani Jones, Ed Amatrudo, Jimmy Tatro",90 min,90,min,comedies,netflix
20532,Blue Planet II,tv show,2017,David Attenborough,1 Season,1,season,"british tv shows, docuseries, science & nature tv",netflix
20533,Blue Ruin,movie,2013,"Macon Blair, Devin Ratray, Amy Hargreaves, Kevin Kolack, Eve Plumb, David W. Thompson, Brent Werzner, Stacy Rock, Sidné Anderson, Sandy Barnett, Bonnie Johnson",90 min,90,min,"independent movies, thrillers",netflix
20534,Blue Streak,movie,1999,"Martin Lawrence, Luke Wilson, Peter Greene, Dave Chappelle, Nicole Ari Parker, Graham Beckel, Robert Miranda, Olek Krupa, Saverio Guerra, Richard C. Sarafian, William Forsythe",94 min,94,min,"action & adventure, comedies",netflix
20535,Blue Valentine,movie,2010,"Ryan Gosling, Michelle Williams, Faith Wladyka, John Doman, Mike Vogel, Ben Shenkman, Jen Jones, Maryann Plunkett, Marshall Johnson, James Benatti, Barbara Troy, Carey Westbrook, Enid Graham",112 min,112,min,"dramas, independent movies, romantic movies",netflix
20536,Blurred Lines: Inside the Art World,movie,2017,sin dato,85 min,85,min,documentaries,netflix
20537,Bob Lazar: Area 51 & Flying Saucers,movie,2018,Robert Lazar,97 min,97,min,documentaries,netflix
20538,Bob Ross: Beauty Is Everywhere,tv show,1991,Bob Ross,1 Season,1,season,tv shows,netflix
20539,Bob's Broken Sleigh,movie,2015,"Cole Howard, Bruce Greenwood, Victor Garber, Michael Adamthwaite, Raini Rodriguez, Colin Murdock, Maryke Hendrikse, Sam Vincent, Gabe Khouth",47 min,47,min,children & family movies,netflix
20540,Bobbi Jene,movie,2017,Bobbi Jene Smith,99 min,99,min,documentaries,netflix
20541,Bobby,movie,1973,"Rishi Kapoor, Dimple Kapadia, Pran, Prem Nath, Sonia Sahni, Durga Khote, Aruna Irani, Prem Chopra, Farida Jalal",168 min,168,min,"classic movies, dramas, international movies",netflix
20542,Bobby Robson: More Than a Manager,movie,2018,Bobby Robson,99 min,99,min,"documentaries, international movies, sports movies",netflix
20543,Bobby Sands: 66 Days,movie,2016,sin dato,106 min,106,min,documentaries,netflix
20544,Bokeh,movie,2017,"Maika Monroe, Matt O'Leary, Arnar Jónsson, Gunnar Helgason, Berglind Rós Sigurðardóttir",92 min,92,min,"dramas, independent movies, sci-fi & fantasy",netflix
20545,Bolt,movie,2008,"John Travolta, Miley Cyrus, Susie Essman, Mark Walton, Malcolm McDowell, James Lipton, Greg Germann, Diedrich Bader, Nick Swardson, J.P. Manoux, Dan Fogelman, Kari Wahlgren, Chloë Grace Moretz, Randy Savage, Ronn Moss, John DiMaggio, Daran Norris, Jeff Bennett, Brian Stepanek, Todd Cummings",99 min,99,min,"children & family movies, comedies",netflix
20546,Bombshell: The Hedy Lamarr Story,movie,2017,Hedy Lamarr,89 min,89,min,documentaries,netflix
20547,Bon Bini Holland,movie,2015,"Jandino Asporaat, Liliana de Vries, Teun Kuilboer, Sergio IJssel, Dennis Rudge, Alpha Oumar Barry, Phi Nguyen",88 min,88,min,"comedies, international movies",netflix
20548,Bondi Rescue,tv show,2016,"Andrew Günsberg, Dean Gladstone, Bruce Hopkins, Trent 'Maxi' Maxwell, Andrew Reid, Ryan Clark, Chris Chapman, Anthony 'Harries' Caroll",1 Season,1,season,reality tv,netflix
20549,Bonnie and Clyde,movie,1967,"Warren Beatty, Faye Dunaway, Michael J. Pollard, Gene Hackman, Estelle Parsons, Denver Pyle, Dub Taylor, Evans Evans, Gene Wilder",111 min,111,min,"action & adventure, classic movies, dramas",netflix
20550,Boom,movie,2003,"Amitabh Bachchan, Gulshan Grover, Jackie Shroff, Javed Jaffrey, Katrina Kaif, Madhu Sapre, Padma Lakshmi, Seema Biswas, Zeenat Aman, Boman Irani",79 min,79,min,"action & adventure, dramas, international movies",netflix
20551,Border Patrol,tv show,2016,Timothy Balme,1 Season,1,season,reality tv,netflix
20552,Borderline,tv show,2017,"David Avery, Jackie Clune, David Elms, Liz Kingsman, Jamie Michie",2 Seasons,2,season,"british tv shows, tv comedies",netflix
20553,Born Strong,movie,2017,"Eddie Hall, Hafþór Júlíus Björnsson, Brian Shaw, Zydrunas Savickas",86 min,86,min,"documentaries, sports movies",netflix
20554,Born to Be Free,movie,2016,"Casting a light on the mistreatment of sea mammals, this documentary follows the plight of 18 Beluga whales kept in captivity for years.",74 min,74,min,"documentaries, international movies",netflix
20555,Botched Up Bodies,tv show,2013,"Charlie Brooks, Sue Johnston",1 Season,1,season,"british tv shows, docuseries, international tv shows",netflix
20556,Bottom of the World,movie,2017,"Jena Malone, Douglas Smith, Ted Levine, Tamara Duarte, Kelly Pendygraft, Mark Sivertsen, Jon McLaren",84 min,84,min,"dramas, independent movies, thrillers",netflix
20557,Boy and the World,movie,2013,"Vinícius Garcia, Felipe Zilse, Alê Abreu, Lu Horta, Marco Aurélio Campos, Cassius Romero, Alfredo Rollo",80 min,80,min,children & family movies,netflix
20558,Boy Bye,movie,2016,"Wendy Raquel Robinson, Ross Fleming, Shondrella Avery, Tammy Townsend, Omar Gooding, Tracy Davis, Veronika Bozeman, Kelly Perine, Valarie Pettiford",86 min,86,min,"comedies, romantic movies",netflix
20559,Brain Games,tv show,2016,Jason Silva,3 Seasons,3,season,"docuseries, science & nature tv",netflix
20560,Brampton's Own,movie,2018,"Alex Russell, Rose McIver, Jean Smart, Scott Porter, Kevin Linehan, Spencer Grammer, Carter Hastings, Riley Voelkel, John Getz",90 min,90,min,"dramas, romantic movies, sports movies",netflix
20561,Bratz: The Movie,movie,2007,"Logan Browning, Janel Parrish, Nathalia Ramos, Skyler Shaye, Chelsea Kane",102 min,102,min,"children & family movies, comedies",netflix
20562,Brave Miss World,tv show,2013,Linor Abargil,1 Season,1,season,"crime tv shows, docuseries",netflix
20563,Brave New Jersey,movie,2016,"Tony Hale, Anna Camp, Sam Jaeger, Heather Burns, Dan Bakkedahl, Raymond J. Barry, Erika Alexander, Mel Rodriguez, Evan Jonigkeit, Grace Kaufman",92 min,92,min,"comedies, independent movies",netflix
20564,Braxton Family Values,tv show,2014,"Toni Braxton, Trina Braxton, Traci Braxton, Towanda Braxton, Tamar Braxton",2 Seasons,2,season,reality tv,netflix
20565,Breaking Free,movie,2015,Sridhar Rangayan,81 min,81,min,"documentaries, international movies, lgbtq movies",netflix
20566,Breath,movie,2018,"Samson Coulter, Ben Spence, Simon Baker, Elizabeth Debicki, Richard Roxburgh, Rachael Blake, Jacek Koman",116 min,116,min,"dramas, sports movies",netflix
20567,Brick,movie,2005,"Joseph Gordon-Levitt, Nora Zehetner, Lukas Haas, Noah Fleiss, Matt O'Leary, Emilie de Ravin, Noah Segan, Richard Roundtree, Meagan Good, Brian White",110 min,110,min,"independent movies, thrillers",netflix
20568,Bring It On: Worldwide Showdown,movie,2017,"Cristine Prosperi, Jordan Rodrigues, Gia Re, Sophie Vavasseur, Sven Ruygrok, Stephan Lee Benson, Natalie Walsh, Vivica A. Fox",95 min,95,min,comedies,netflix
20569,Bringing Sexy Back,tv show,2015,Samantha Armstrong,1 Season,1,season,"international tv shows, reality tv",netflix
20570,Brooklyn's Finest,movie,2009,"Richard Gere, Don Cheadle, Ethan Hawke, Wesley Snipes, Will Patton, Lili Taylor, Michael Kenneth Williams, Brían F. O'Byrne, Shannon Kane, Ellen Barkin, Vincent D'Onofrio, Logan Marshall-Green",133 min,133,min,"dramas, thrillers",netflix
20571,Brotherhood of Blades II: The Infernal Battlefield,movie,2017,"Chang Chen, Yang Mi, Zhang Yi, Lei Jiayin, Xin Zhilei, Shih Chieh King",120 min,120,min,"action & adventure, international movies",netflix
20572,Brown Nation,tv show,2016,"Rajeev Varma, Shenaz Treasury, Kapil Bawa, Remy Munasifi, Omi Vaidya, Melanie Chandra, Sana Serrai, Jonathan Horvath, Akaash Singh",1 Season,1,season,tv comedies,netflix
20573,Bruno and Boots: Go Jump in the Pool,movie,2016,"Jonny Gray, Callan Potter, Peter Keleghan, Hannah Vandenbygaart, Kiana Madeira, Joshua Kilimnik, Drew Haytaoglu, Isiah Lea, Scott Thompson, Caroline Rhea",91 min,91,min,"children & family movies, comedies",netflix
20574,Bruno and Boots: The Wizzle War,movie,2017,"Jonny Gray, Callan Potter, Matt Baram, Caroline Rhea, Kiana Madeira",90 min,90,min,"children & family movies, comedies",netflix
20575,Bruno and Boots: This Can't Be Happening at Macdonald Hall,movie,2017,"Jonny Gray, Callan Potter, Peter Keleghan, Caroline Rhea",90 min,90,min,"children & family movies, comedies",netflix
20576,Buddha,tv show,2013,"Himanshu Soni, Kajal Jain, Sanket Choukse, Kabir Bedi, Sameer Dharmadhikari, Jagat Singh, Reshmi Ghosh, Siddharth Vasudev, Amit Behl, Hemant Choudhary",1 Season,1,season,"international tv shows, tv dramas",netflix
20577,Buffalo Boys,movie,2018,"Yoshua Sudarso, Ario Bayu, Pevita Pearce, Tio Pakusadewo, Reinout Bussemaker, Mikha Tambayong, Happy Salma, Alex Abbad, Zack Lee",103 min,103,min,"action & adventure, international movies",netflix
20578,Bugs,movie,2016,sin dato,73 min,73,min,"documentaries, international movies",netflix
20579,Bullitt County,movie,2018,"Mike C. Nelson, Jenni Melear, David McCracken, Napoleon Ryan, Dorothy Lyman, Richard Riehle",98 min,98,min,"independent movies, thrillers",netflix
20580,"Bure Kaam Bura Natija, Kyun Bhai Chacha Haan Bhatija",tv show,2017,sin dato,1 Season,1,season,kids' tv,netflix
20581,Burlesque,movie,2010,"Cher, Christina Aguilera, Alan Cumming, Eric Dane, Cam Gigandet, Julianne Hough, Peter Gallagher, Kristen Bell, Stanley Tucci, Dianna Agron",119 min,119,min,"dramas, romantic movies",netflix
20582,Burlesque: Heart of the Glitter Tribe,movie,2017,sin dato,76 min,76,min,documentaries,netflix
20583,Burning,movie,2018,"Yoo Ah-in, Steven Yeun, Jun Jong-seo, Kim Soo-kyung, Moon Sung-keun, ChoI Seung-ho",148 min,148,min,"dramas, independent movies, international movies",netflix
20584,Burnistoun,tv show,2012,"Iain Connell, Robert Florence, Kirsty Strain, Richard Rankin, Allan Miller, Louise Stewart",2 Seasons,2,season,"british tv shows, tv comedies",netflix
